T	43.185100000	-95.950130000	436.6	74.2	-1.2	34.6357	24.50		
T	43.185140000	-95.949940000	435.5	73.9	-6.9	34.6518	16.07		
T	43.185180000	-95.949740000	434.4	74.7	-6.5	34.6686	16.86		
T	43.185210000	-95.949580000	433.8	75.6	-4.5	34.6821	13.43		
T	43.185290000	-95.949210000	433.0	73.5	-2.6	34.7134	31.36		
T	43.185310000	-95.949090000	432.9	77.1	-1.0	34.7234	10.01		
T	43.185480000	-95.948290000	432.7	73.8	-0.3	34.7912	67.72		
T	43.185590000	-95.947710000	432.6	75.4	-0.2	34.8399	48.71		
T	43.185680000	-95.947280000	432.6	74.0	0.0	34.8762	36.36		
T	43.185810000	-95.946630000	432.5	74.7	-0.2	34.9310	54.78		
T	43.185880000	-95.946300000	432.3	73.8	-0.7	34.9589	27.93		
T	43.185910000	-95.946120000	432.1	77.1	-1.3	34.9739	15.01		
T	43.185940000	-95.945930000	431.8	77.8	-1.9	34.9897	15.80		
T	43.185970000	-95.945770000	431.5	75.6	-2.2	35.0032	13.43		
T	43.186020000	-95.945430000	431.0	78.6	-1.8	35.0314	28.19		
T	43.186060000	-95.945140000	430.6	79.3	-1.7	35.0553	23.99		
T	43.186070000	-95.945010000	430.5	84.0	-0.9	35.0660	10.63		
T	43.186090000	-95.944850000	430.4	80.3	-0.8	35.0792	13.20		
T	43.186100000	-95.944720000	430.3	84.0	-0.9	35.0898	10.63		
T	43.186110000	-95.944580000	430.2	84.4	-0.9	35.1012	11.44		
T	43.186120000	-95.944490000	430.1	81.3	-1.4	35.1086	7.40		
T	43.186120000	-95.944400000	430.1	90.0	0.0	35.1160	7.32		
T	43.186130000	-95.944310000	430.0	81.3	-1.4	35.1234	7.40		
T	43.186130000	-95.944220000	430.0	90.0	0.0	35.1307	7.32		
T	43.186140000	-95.944070000	430.0	84.8	0.0	35.1429	12.24		
T	43.186150000	-95.943860000	429.9	86.3	-0.6	35.1600	17.11		
T	43.186150000	-95.943670000	429.9	90.0	0.0	35.1755	15.45		
T	43.186150000	-95.943500000	429.6	90.0	-2.2	35.1893	13.82		
T	43.186150000	-95.943230000	428.7	90.0	-4.1	35.2112	21.95		
T	43.186150000	-95.943100000	428.5	90.0	-1.9	35.2218	10.57		
T	43.186140000	-95.942750000	428.5	92.2	0.0	35.2503	28.47		
T	43.186140000	-95.942280000	430.0	90.0	3.9	35.2885	38.21		
T	43.186140000	-95.941580000	431.1	90.0	1.9	35.3454	56.91		
T	43.186130000	-95.941310000	431.4	92.9	1.4	35.3674	21.98		
T	43.186130000	-95.939970000	432.3	90.0	0.8	35.4763	108.93		
T	43.186120000	-95.939170000	433.0	91.0	1.1	35.5414	65.05		
T	43.186120000	-95.938600000	433.6	90.0	1.3	35.5877	46.34		
T	43.186120000	-95.938430000	433.8	90.0	1.5	35.6015	13.82		
T	43.186110000	-95.937270000	432.8	90.7	-1.1	35.6958	94.31		
T	43.186110000	-95.936670000	432.3	90.0	-1.0	35.7446	48.78		
T	43.186100000	-95.936090000	431.6	91.4	-1.5	35.7918	47.16		
T	43.186100000	-95.935370000	430.2	90.0	-2.4	35.8503	58.53		
T	43.186090000	-95.934770000	430.0	91.3	-0.4	35.8991	48.79		
T	43.186090000	-95.934070000	429.3	90.0	-1.2	35.9560	56.91		
T	43.186090000	-95.933520000	428.6	90.0	-1.6	36.0007	44.71		
T	43.186080000	-95.933110000	428.2	91.9	-1.2	36.0340	33.35		
T	43.186080000	-95.932680000	427.8	90.0	-1.1	36.0690	34.96		
T	43.186070000	-95.932040000	427.3	91.2	-1.0	36.1210	52.04		
T	43.186070000	-95.931610000	427.0	90.0	-0.9	36.1560	34.96		
T	43.186070000	-95.931170000	426.2	90.0	-2.2	36.1918	35.77		
T	43.186070000	-95.930830000	425.5	90.0	-2.5	36.2194	27.64		
T	43.186060000	-95.929630000	427.0	90.7	1.5	36.3170	97.56		
T	43.186050000	-95.928600000	427.2	90.8	0.2	36.4007	83.74		
T	43.186050000	-95.927710000	427.7	90.0	0.7	36.4731	72.35		
T	43.186040000	-95.926880000	428.3	90.9	0.9	36.5405	67.48		
T	43.186030000	-95.925860000	428.5	90.8	0.2	36.6235	82.93		
T	43.186030000	-95.924840000	428.7	90.0	0.2	36.7064	82.92		
T	43.186020000	-95.923870000	428.6	90.8	-0.1	36.7853	78.86		
T	43.186020000	-95.922930000	427.6	90.0	-1.3	36.8617	76.42		
T	43.186010000	-95.922180000	426.8	91.0	-1.3	36.9227	60.98		
T	43.186000000	-95.921470000	427.1	91.1	0.5	36.9804	57.73		
T	43.186010000	-95.920630000	427.3	89.1	0.3	37.0487	68.30		
T	43.186010000	-95.920510000	427.3	90.0	0.0	37.0584	9.76		
T	43.186010000	-95.919940000	427.2	90.0	-0.2	37.1048	46.34		
T	43.186010000	-95.919060000	427.1	90.0	-0.1	37.1763	71.54		
T	43.186010000	-95.918470000	427.1	90.0	0.0	37.2243	47.96		
T	43.186000000	-95.918270000	427.1	93.9	0.0	37.2406	16.30		
T	43.186010000	-95.917980000	427.3	87.3	0.9	37.2642	23.60		
T	43.186000000	-95.917270000	427.4	91.1	0.2	37.3219	57.73		
T	43.186000000	-95.916510000	427.3	90.0	-0.2	37.3837	61.78		
T	43.186000000	-95.915920000	427.1	90.0	-0.4	37.4317	47.96		
