type	latitude	longitude	altitude (m)	course	slope (%)	distance (km)	distance_interval (m)	slope corrected
1	43.27346	-95.6442	471.9	65.7	-0.1	65.4097	134.52	-0.1
1	43.275471	-95.644185	470.1	0.3	-0.8	65.6331	223.42	-0.8
1	43.277483	-95.644169	472.5	0.3	1.1	65.8566	223.53	1.1
1	43.279494	-95.644154	474	0.3	0.7	66.08	223.42	0.7
1	43.282124	-95.644118	473.4	0.6	-0.2	66.3722	292.2	-0.2
1	43.284582	-95.644091	466.4	0.5	-2.6	66.6453	273.09	-2.6
1	43.287035	-95.644057	469.7	0.6	1.2	66.9179	272.54	1.2
1	43.28754	-95.64353	470.3	37.2	0.9	66.9884	70.55	0.9
1	43.287521	-95.640342	471.6	90.5	0.5	67.2472	258.75	0.5
1	43.287503	-95.637155	473.1	90.4	0.6	67.5058	258.66	0.6
1	43.287484	-95.633967	475.7	90.5	1	67.7646	258.75	1
1	43.287466	-95.63078	476.3	90.4	0.2	68.0232	258.66	0.2
1	43.287437	-95.626808	477.3	90.6	0.3	68.3456	322.38	0.3
1	43.287415	-95.623796	478.8	90.6	0.6	68.5901	244.47	0.6
1	43.28736	-95.620046	479.7	91.2	0.3	68.8945	304.41	0.3
1	43.28731	-95.616921	481.2	91.3	0.6	69.1482	253.69	0.6
1	43.287256	-95.613434	482.6	91.2	0.5	69.4313	283.07	0.5
1	43.287204	-95.609424	482.4	91	-0.1	69.7568	325.5	-0.1
1	43.28715	-95.604439	480.1	90.9	-0.6	70.1614	404.63	-0.6
1	43.287131	-95.602247	478.7	90.7	-0.8	70.3393	177.92	-0.8
1	43.287102	-95.598432	477	90.6	-0.6	70.6489	309.64	-0.5
1	43.287083	-95.595844	475.9	90.6	-0.5	70.859	210.05	-0.5
1	43.286982	-95.590724	473.8	91.6	-0.5	71.2747	415.69	-0.5
1	43.286924	-95.588088	472.6	91.7	-0.6	71.4887	214.04	-0.6
1	43.286866	-95.585452	472.9	91.7	0.1	71.7028	214.04	0.1
1	43.286791	-95.581755	471.4	91.6	-0.5	72.0029	300.17	-0.5
1	43.286721	-95.578329	469.7	91.6	-0.6	72.2811	278.17	-0.6
1	43.286652	-95.574904	469.8	91.6	0	72.5592	278.08	0
1	43.286583	-95.571479	470.9	91.6	0.4	72.8373	278.08	0.4
1	43.286513	-95.568054	469.5	91.6	-0.5	73.1153	278.09	-0.5
1	43.286367	-95.561681	467.3	91.8	-0.4	73.6328	517.49	-0.4
1	43.286283	-95.558441	464.8	92	-1	73.896	263.13	-1
1	43.2862	-95.555202	462.9	92	-0.7	74.159	263.04	-0.7
1	43.286117	-95.551963	462	92	-0.3	74.4221	263.04	-0.3
1	43.286033	-95.548724	460.7	92	-0.5	74.6851	263.05	-0.5
1	43.28595	-95.545484	460	92	-0.3	74.9482	263.13	-0.3
1	43.285867	-95.542245	459.6	92	-0.2	75.2113	263.04	-0.2
1	43.285783	-95.539006	459.5	92	0	75.4743	263.05	0
1	43.2857	-95.535767	459.3	92	-0.1	75.7374	263.05	-0.1
1	43.285617	-95.532527	459.8	92	0.2	76.0005	263.13	0.2
1	43.285533	-95.529288	458.6	92	-0.5	76.2635	263.05	-0.5
1	43.28545	-95.526049	457.9	92	-0.3	76.5266	263.05	-0.3
1	43.285314	-95.520565	454.6	91.9	-0.7	76.9719	445.35	-0.7
1	43.285257	-95.518191	458.6	91.9	2.1	77.1647	192.78	2.1
1	43.285201	-95.515816	458	91.9	-0.3	77.3576	192.86	-0.3
1	43.285032	-95.512328	451.4	93.8	-2.3	77.6413	283.72	-2.3
1	43.284865	-95.508865	444.7	93.8	-2.4	77.923	281.68	-2.4
1	43.284703	-95.503958	441.4	92.6	-0.8	78.3217	398.68	-0.8
1	43.28468	-95.500633	436.4	90.5	-1.9	78.5915	269.88	-1.9
